City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Tiznit Province,29.58,-9.5,54.79,71,78,9.51,MA,1587338932
Lata,40.16,-8.33,54.0,93,56,3.0,PT,1587338932
Lamar,33.67,-95.58,62.6,100,90,4.7,US,1587338932
Obra,24.42,82.98,79.81,20,99,3.09,IN,1587338932
Tabou,4.42,-7.35,80.91,85,99,7.02,CI,1587338933
Coyhaique,-45.58,-72.07,41.0,93,40,8.05,CL,1587338933
Portland,45.52,-122.68,64.99,48,20,8.05,US,1587338280
Toora-Khem,52.47,96.11,34.2,54,0,2.37,RU,1587338933
Borogontsy,62.67,131.17,17.08,83,12,2.86,RU,1587338906
Assiut,27.18,31.18,64.4,52,0,9.17,EG,1587338934
Forio,40.73,13.86,64.99,67,100,1.99,IT,1587338934
Kulhudhuffushi,6.62,73.07,86.32,69,36,8.55,MV,1587338934
Hornepayne,49.21,-84.77,23.4,92,99,4.25,CA,1587338934
Husavik,66.04,-17.34,46.4,70,20,31.09,IS,1587338814
Simimbaan,17.12,121.58,80.83,78,100,3.06,PH,1587338935
Anzio,41.49,12.62,61.0,94,100,3.0,IT,1587338935
Mayor Pablo Lagerenza,-19.93,-60.77,76.39,49,0,4.61,PY,1587338935
Ribeira Grande,38.52,-28.7,56.68,63,7,12.53,PT,1587338936
Ekenäs,59.97,23.43,43.0,76,52,1.01,FI,1587338936
Maniitsoq,65.42,-52.9,29.53,94,100,36.17,GL,1587338936
Adrar,20.5,-10.07,75.76,18,0,6.55,MR,1587338858
Sibolga,1.74,98.78,76.59,78,44,3.65,ID,1587338936
Homer,59.64,-151.55,53.6,58,75,12.75,US,1587338937
Āmol,36.47,52.35,55.6,72,0,2.73,IR,1587338937
Ambulu,-8.35,113.61,80.49,73,100,3.49,ID,1587338937
Dunedin,-45.87,170.5,59.0,35,46,7.0,NZ,1587338937
Hualmay,-11.1,-77.61,70.61,78,21,8.08,PE,1587338638
Plaridel,14.89,120.86,86.0,66,20,4.7,PH,1587338938
Flinders,-34.58,150.86,64.0,61,100,3.0,AU,1587338938
Kathu,7.92,98.33,78.8,88,20,2.24,TH,1587338938
Fort Nelson,58.81,-122.7,62.6,33,75,8.05,CA,1587338939
Tālcher,20.95,85.22,74.3,75,32,0.74,IN,1587338939
Carnarvon,-24.87,113.63,71.6,83,49,11.41,AU,1587338939
Chippewa Falls,44.94,-91.39,48.99,21,1,11.41,US,1587338939
Malia,35.28,25.47,57.99,81,0,6.93,GR,1587338940
Roald,62.58,6.13,41.0,93,0,10.29,NO,1587338940
Severo-Kuril'sk,50.68,156.12,30.97,91,73,9.89,RU,1587338940
Tambovka,50.1,128.05,24.8,92,90,17.9,RU,1587338940
Olinda,-8.01,-34.86,82.4,78,40,6.93,BR,1587338941
Rincon,32.3,-81.24,62.6,93,90,6.93,US,1587338941
Batemans Bay,-35.72,150.18,62.01,59,100,10.49,AU,1587338918
Vanimo,-2.67,141.3,82.74,79,100,1.43,PG,1587338656
Beni,0.5,29.47,62.15,72,69,1.72,CD,1587338942
Intipucá,13.2,-88.05,84.04,64,0,12.06,SV,1587338942
Wawa,9.9,4.42,83.21,62,90,11.21,NG,1587338942
Mackay,-21.15,149.2,80.01,88,90,6.93,AU,1587338942
Warrnambool,-38.38,142.48,61.0,78,74,24.65,AU,1587338942
Inhambane,-23.86,35.38,73.2,83,14,10.02,MZ,1587338943
Kruisfontein,-34.0,24.73,67.21,49,20,4.18,ZA,1587338839
Baykit,61.67,96.37,26.91,90,1,1.86,RU,1587338943
Port Macquarie,-31.43,152.92,66.0,82,40,3.36,AU,1587338943
Lahuachaca,-17.37,-67.67,47.34,23,29,7.2,BO,1587338943
Kuminskiy,58.67,66.57,35.04,84,0,5.01,RU,1587338944
Manzanillo,20.34,-77.12,80.04,76,15,4.81,CU,1587338733
San Rafael del Sur,11.85,-86.44,93.2,38,20,11.41,NI,1587338944
Laguna,38.42,-121.42,71.01,48,1,6.93,US,1587338903
Makakilo City,21.35,-158.09,82.4,58,1,10.29,US,1587338663
Punto Fijo,11.7,-70.2,79.57,78,30,25.52,VE,1587338945
Arcata,40.87,-124.08,57.0,71,1,13.87,US,1587338742
Sambava,-14.27,50.17,73.58,88,50,7.9,MG,1587338945
Kamennomostskiy,44.3,40.19,46.6,46,64,5.77,RU,1587338946
Bandarbeyla,9.49,50.81,81.73,68,79,3.11,SO,1587338946
Khovd,48.01,91.64,37.11,36,0,0.54,MN,1587338946
Kisangani,0.52,25.2,71.02,80,99,1.19,CD,1587338946
Korfovskiy,48.22,135.06,50.0,43,100,8.95,RU,1587338947
Ngunguru,-35.62,174.5,61.0,97,99,1.99,NZ,1587338947
Casper,42.87,-106.31,52.0,40,20,11.41,US,1587338947
Faya,18.39,42.45,64.4,72,89,3.51,SA,1587338947
Port Keats,-14.25,129.55,85.42,65,67,3.96,AU,1587338947
Piaçabuçu,-10.41,-36.43,79.59,83,15,8.61,BR,1587338948
Lillooet,50.69,-121.94,66.2,37,40,20.8,CA,1587338948
Iguape,-24.71,-47.56,67.91,83,7,5.19,BR,1587338948
Deputatsky,69.3,139.9,6.67,87,60,6.04,RU,1587338651
Otradnoye,59.78,30.82,37.4,93,70,4.47,RU,1587338949
Narasannapeta,18.42,84.05,78.62,79,47,6.06,IN,1587338949
East London,-33.02,27.91,76.21,54,0,13.35,ZA,1587338949
Caravelas,-17.71,-39.25,76.08,76,78,15.39,BR,1587338950
Eydhafushi,5.1,73.07,85.51,74,48,8.32,MV,1587338950
Pandan Niog,6.23,120.56,83.79,74,98,3.76,PH,1587338950
Manta,-0.95,-80.73,82.4,61,40,10.29,EC,1587338950
San Quintín,30.48,-115.95,62.33,66,87,18.21,MX,1587338869
Tura,25.52,90.22,68.61,85,26,1.66,IN,1587338951
Mareeba,-17.0,145.43,82.99,85,53,2.15,AU,1587338951
Ayan,56.45,138.17,22.55,93,100,14.2,RU,1587338914
Shaunavon,49.65,-108.42,51.46,30,87,14.61,CA,1587338952
Tuatapere,-46.13,167.68,54.0,72,35,5.99,NZ,1587338952
Sochaczew,52.23,20.24,41.0,99,23,6.67,PL,1587338952
Jinchang,38.5,102.17,40.86,27,99,11.9,CN,1587338952
Bhisho,-32.85,27.44,76.32,35,1,9.93,ZA,1587338953
Kununurra,-15.77,128.73,80.6,74,72,4.7,AU,1587338803
Tancheng,27.44,115.5,65.61,72,0,2.06,CN,1587338953
Marsh Harbour,26.54,-77.06,80.15,78,42,12.24,BS,1587338953
Lamont,35.26,-118.91,73.0,45,89,4.0,US,1587338954
Bogale,16.28,95.4,74.26,90,0,2.82,MM,1587338954
Strezhevoy,60.73,77.59,37.4,100,90,2.24,RU,1587338954
Bira,49.0,132.47,50.72,48,100,8.99,RU,1587338954
Velyka Oleksandrivka,47.32,33.3,46.76,68,100,6.58,UA,1587338955
Los Llanos de Aridane,28.66,-17.92,64.4,72,20,10.29,ES,1587338862
Nyuksenitsa,60.41,44.24,27.73,96,0,2.1,RU,1587338955
Ahipara,-35.17,173.17,63.28,90,100,5.37,NZ,1587338801
Kudahuvadhoo,2.67,72.89,85.15,72,71,9.44,MV,1587338956
Serenje,-13.23,30.24,57.38,62,13,5.1,ZM,1587338956
The Valley,18.22,-63.06,81.0,74,20,8.05,AI,1587338805
Walvis Bay,-22.96,14.51,60.8,82,15,1.12,NA,1587338957
Shinuhayr,39.44,46.32,45.18,46,94,3.42,AM,1587338957
Bac Lieu,9.29,105.72,82.38,73,0,8.19,VN,1587338957
San Ramon,37.78,-121.98,68.0,52,1,12.75,US,1587338683
Plouzané,48.38,-4.62,51.8,81,94,6.93,FR,1587338958
Srednekolymsk,67.45,153.68,9.52,93,86,12.19,RU,1587338768
Kamenka,51.32,42.77,32.0,83,59,1.99,RU,1587338791
Acarí,-15.43,-74.62,72.28,61,20,2.95,PE,1587338959
Mayskiy,47.69,40.1,51.8,64,40,4.47,RU,1587338956
San-Pédro,4.75,-6.64,80.37,86,85,6.87,CI,1587338959
Lahaina,20.88,-156.68,82.4,57,1,5.82,US,1587338960
Galle,6.04,80.22,79.88,84,19,9.4,LK,1587338960
Miraflores,19.22,-98.81,78.8,31,90,12.75,MX,1587338960
Khoy,38.55,44.95,54.5,41,28,2.21,IR,1587338960
Alta Floresta,-9.88,-56.09,72.99,86,47,0.89,BR,1587338961
Magadan,59.57,150.8,9.09,78,0,3.69,RU,1587338961
Kirkwall,58.98,-2.96,44.6,87,0,12.75,GB,1587338961
Bengbu,32.94,117.36,58.87,72,58,8.21,CN,1587338962
Pangoa,-12.12,-73.0,69.53,65,0,1.1,PE,1587338962
Yulara,-25.24,130.99,80.6,36,25,12.75,AU,1587338962
Gunjur,13.2,-16.73,75.2,64,37,11.41,GM,1587338812
Hirara,24.8,125.28,69.8,94,75,13.87,JP,1587338962
Tadine,-21.55,167.88,79.14,79,100,14.7,NC,1587338963
Moranbah,-22.0,148.05,79.05,54,15,11.03,AU,1587338963
Shakhovskaya,56.03,35.51,30.63,92,12,6.82,RU,1587338963
Ubari,26.59,12.78,82.09,16,26,23.04,LY,1587338964
Maningrida,-12.07,134.27,82.96,69,3,5.88,AU,1587338964
Pâncota,46.33,21.7,50.0,53,75,11.41,RO,1587338964
Shingū,33.73,135.98,62.6,93,75,3.36,JP,1587338838
College,64.86,-147.8,48.0,75,90,2.55,US,1587338965
Muncar,-8.43,114.33,80.06,79,97,2.89,ID,1587338965
Wuwei,37.93,102.64,45.0,29,90,8.08,CN,1587338965
Oktyabr'skiy,54.48,53.47,37.74,73,88,1.63,RU,1587338903
Ljungby,56.83,13.94,36.0,66,29,2.91,SE,1587338887
Staraya Mayna,54.6,48.95,37.4,74,100,5.86,RU,1587338966
Salina,38.84,-97.61,69.8,37,1,4.7,US,1587338841
Dicabisagan,17.08,122.42,81.79,79,100,7.09,PH,1587338966
Georgiyevka,43.04,74.71,46.4,81,0,4.47,KZ,1587338967
Acaraú,-2.89,-40.12,77.36,87,28,3.53,BR,1587338967
Erzin,36.96,36.2,60.01,76,40,5.82,TR,1587338967
Lagos,6.58,3.75,80.6,88,20,2.24,NG,1587338769
Osmanabad,18.17,76.05,82.74,29,52,1.92,IN,1587338968
Owando,-0.48,15.9,71.65,81,96,1.57,CG,1587338968
Philadelphia,39.95,-75.16,60.8,36,75,13.87,US,1587338768
Umaria,23.53,80.83,78.73,20,100,3.56,IN,1587338969
Thinadhoo,0.53,72.93,84.6,75,90,10.54,MV,1587338969
Zhangye,38.93,100.45,47.61,25,93,1.95,CN,1587338856
Palestine,31.92,35.2,66.99,77,0,4.7,PS,1587338970
Rosetta,31.4,30.42,62.6,77,5,4.7,EG,1587338970
Lavrentiya,65.58,-171.0,21.18,91,100,8.16,RU,1587338805
Atambua,-9.11,124.89,78.87,67,11,1.95,ID,1587338971
Kashgar,39.45,75.98,51.8,76,75,6.71,CN,1587338971
Remanso,-9.62,-42.08,76.1,69,70,7.61,BR,1587338972
Muskogee,35.58,-95.33,66.2,63,90,6.93,US,1587338972
Yola,9.2,12.48,85.53,49,76,8.86,NG,1587338972
Alyangula,-13.85,136.42,82.4,88,0,2.24,AU,1587338972
Bagotville,-28.98,153.42,71.6,56,4,8.05,AU,1587338972
Ambon City,-3.7,128.18,84.2,79,40,2.24,ID,1587338973
Iqaluit,63.75,-68.51,1.4,70,20,8.05,CA,1587338973
Lusambo,-4.97,23.45,70.43,85,80,0.92,CD,1587338974
Jaqué,7.52,-78.17,78.96,79,80,0.6,PA,1587338974
Tessalit,20.2,1.01,80.24,29,0,8.23,ML,1587338974
Serebryanyy Bor,56.8,124.8,14.34,81,43,15.35,RU,1587338974
Riyadh,24.69,46.72,75.2,47,100,3.36,SA,1587338811
Svobodnyy,51.4,128.13,24.8,91,100,18.5,RU,1587338732
Sinnamary,5.38,-52.95,79.9,84,97,16.82,GF,1587338975
Baoqing,46.33,132.21,48.15,60,100,16.26,CN,1587338975
Hvide Sande,56.0,8.13,39.0,77,0,4.16,DK,1587338975
Kjøllefjord,70.95,27.35,37.4,93,75,19.46,NO,1587338976
Tuy Hoa,13.08,109.3,78.84,78,99,4.32,VN,1587338976
Altay,47.87,88.12,46.65,36,2,6.44,CN,1587338976
Sheridan,44.83,-106.92,53.01,61,90,17.22,US,1587338976
Linjiang,41.81,126.91,47.75,52,98,6.51,CN,1587338976
Yangi Marg`ilon,40.43,71.72,55.4,54,0,6.93,UZ,1587338845
Margate,51.38,1.39,50.0,80,0,1.99,GB,1587338977
High Level,58.52,-117.14,53.6,37,75,2.24,CA,1587338977
Oudtshoorn,-33.59,22.2,59.0,77,0,3.36,ZA,1587338978
Cooma,-36.23,149.13,50.0,61,90,17.22,AU,1587338690
Waipawa,-41.41,175.52,60.01,61,59,5.99,NZ,1587338681
Corinth,37.94,22.96,57.99,76,68,3.11,GR,1587338978
Linxia Chengguanzhen,35.6,103.21,40.66,36,100,0.76,CN,1587338979
Cañon City,38.44,-105.24,66.2,20,40,10.29,US,1587338979
Mikhaylovka,50.06,43.24,40.53,78,23,4.81,RU,1587338979
Korla,41.76,86.15,55.0,45,100,5.01,CN,1587338979
Vao,-22.67,167.48,78.03,81,100,15.39,NC,1587338980
Kathmandu,27.72,85.32,57.2,82,40,5.84,NP,1587338854
Calama,-22.47,-68.93,66.2,16,0,18.34,CL,1587338980
Yumen,40.28,97.2,42.33,25,36,13.89,CN,1587338980
Ekhabi,53.51,142.97,30.92,99,100,9.24,RU,1587338980
Bonthe,7.53,-12.51,81.45,79,100,7.96,SL,1587338824
Aksarka,66.56,67.8,33.1,94,100,6.93,RU,1587338981
Kieta,-6.22,155.63,85.3,65,90,3.11,PG,1587338981
Palembang,-2.92,104.75,77.0,94,20,0.54,ID,1587338981
Yeppoon,-23.13,150.73,77.0,78,75,6.93,AU,1587338982
Racine,42.75,-88.08,46.4,61,1,4.68,US,1587338982
Caceres,39.52,-6.37,52.0,83,4,1.01,ES,1587338982
Tsiroanomandidy,-18.77,46.03,63.19,67,41,3.13,MG,1587338982
Juba,4.85,31.58,74.07,63,100,7.92,SS,1587338982
Namatanai,-3.67,152.43,83.53,75,78,6.06,PG,1587338847
Nome,64.5,-165.41,41.0,86,90,4.7,US,1587338983
Āttayyāmpatti,11.53,78.07,78.19,73,13,3.49,IN,1587338983
Labuhan,-6.88,112.21,81.0,79,92,2.37,ID,1587338836
Bétera,39.58,-0.45,60.8,93,90,2.24,ES,1587338984
Paamiut,61.99,-49.67,25.41,90,4,13.49,GL,1587338984
Nishihara,26.18,127.76,66.2,100,90,8.05,JP,1587338984
San Juan,-31.54,-68.54,75.69,31,0,7.09,AR,1587338796
Lloydminster,53.28,-110.0,48.2,49,75,14.99,CA,1587338985
Chateaubelair,13.28,-61.25,82.4,94,75,5.82,VC,1587338985
Alamosa,37.47,-105.87,51.8,24,90,17.22,US,1587338985
Rottingdean,50.81,-0.06,46.99,88,13,3.0,GB,1587338771
Aklavik,68.22,-135.01,21.2,48,90,3.36,CA,1587338986
Talcahuano,-36.72,-73.12,59.0,82,100,10.29,CL,1587338986
Wasilla,61.58,-149.44,53.6,54,90,4.7,US,1587338799
San Patricio,19.22,-104.7,75.2,78,5,17.22,MX,1587338987
San Vicente,-26.62,-54.13,60.93,63,0,3.09,AR,1587338987
Prince Rupert,54.32,-130.32,51.8,69,1,5.82,CA,1587338988
Murom,55.57,42.04,36.75,79,100,1.59,RU,1587338988
Ucluelet,48.93,-125.55,64.0,81,75,6.93,CA,1587338988
Monforte de Lemos,42.52,-7.51,50.0,89,52,1.3,ES,1587338988
Huarmey,-10.07,-78.15,72.63,74,6,8.08,PE,1587338907
Colesberg,-30.72,25.1,65.39,33,48,5.84,ZA,1587338989
Mezen',65.85,44.24,29.05,99,90,3.94,RU,1587338989
Sechura,-5.56,-80.82,75.52,69,12,17.02,PE,1587338787
Victoria Point,-27.58,153.3,73.0,60,0,1.01,AU,1587338990
Canyon,34.98,-101.92,73.0,22,16,1.99,US,1587338948
Markova,48.68,24.41,32.54,72,62,2.71,UA,1587338863
Vani,42.08,42.52,44.6,93,3,5.82,GE,1587338991
Gazalkent,41.56,69.77,53.6,76,0,9.17,UZ,1587338991
Kandrian,-6.22,149.55,86.27,68,55,5.01,PG,1587338991
Ada,43.42,-116.13,68.0,24,1,10.29,US,1587338992
Reconquista,-29.15,-59.65,67.8,51,0,5.53,AR,1587338992
Xichang,27.9,102.26,60.69,36,29,0.72,CN,1587338878
Dudinka,69.41,86.18,37.4,74,100,24.61,RU,1587338992
Pimentel,-6.84,-79.93,72.12,78,4,12.41,PE,1587338993
Miles City,46.41,-105.84,53.6,46,20,8.05,US,1587338844
Eyrarbakki,63.86,-21.15,46.4,93,90,25.28,IS,1587338763
Sittwe,20.15,92.9,76.57,89,19,4.03,MM,1587338848
Laplace,30.07,-90.48,82.4,69,90,14.99,US,1587338786
George Town,5.41,100.34,78.8,94,20,3.91,MY,1587338994
Solnechnyy,50.72,136.63,31.1,81,100,5.5,RU,1587338994
Jalu,29.03,21.55,71.15,24,38,8.03,LY,1587338994
Hamilton,39.18,-84.53,55.99,54,75,9.17,US,1587338995
Tuapse,44.11,39.07,52.25,65,49,10.54,RU,1587338995
Grand Gaube,-20.01,57.66,75.2,88,40,11.41,MU,1587338957
Rexburg,43.83,-111.79,59.0,28,90,3.36,US,1587338995
Alghero,40.56,8.32,64.4,82,100,1.12,IT,1587338995
Bānposh,22.25,84.8,74.21,63,59,1.28,IN,1587338996
Jiangyou,31.77,104.72,62.65,61,99,1.83,CN,1587338996
Sioux Lookout,50.1,-91.92,35.6,43,90,16.11,CA,1587338997
Havelock,34.88,-76.9,68.0,89,100,5.01,US,1587338716
Nioro,13.35,-15.75,76.8,40,54,9.4,GM,1587338998
Letlhakane,-21.42,25.58,63.25,44,0,8.21,BW,1587338998
San Jerónimo,-11.95,-75.28,45.34,29,50,1.3,PE,1587338998
Nacala,-14.54,40.67,74.5,89,44,11.63,MZ,1587338998
Sisimiut,66.94,-53.67,29.48,92,98,32.91,GL,1587338999
Saint Anthony,45.02,-93.22,51.01,23,1,8.05,US,1587338888
Petrolina,-9.4,-40.5,77.09,68,96,15.52,BR,1587338999
Peiting,47.8,10.93,51.8,81,85,17.22,DE,1587338999
Kodino,63.72,39.64,30.88,98,99,6.11,RU,1587339000
San Cristobal,7.77,-72.22,89.6,52,40,2.24,VE,1587339000
Nelson Bay,-32.72,152.15,64.0,63,86,10.29,AU,1587339000
Bambanglipuro,-7.95,110.28,80.13,80,97,3.74,ID,1587339001
Ixtapa,20.7,-105.2,77.0,73,5,12.75,MX,1587339001
Aasiaat,68.71,-52.87,25.2,97,98,7.81,GL,1587339001
Bonnyville,54.27,-110.73,51.8,34,75,14.99,CA,1587339002
Horconcitos,8.47,-81.8,70.5,67,62,4.79,PA,1587339002
Edson,53.58,-116.44,57.2,30,90,14.99,CA,1587339002
Omboué,-1.57,9.26,76.44,89,100,2.17,GA,1587339002
Nicolás Bravo,18.45,-88.92,86.0,66,90,18.34,MX,1587339002
Arrondissement de Nogent-le-Rotrou,48.33,1.0,53.6,81,100,9.17,FR,1587339003
Mocuba,-16.84,36.99,68.27,94,22,5.5,MZ,1587339003
Coolum Beach,-26.53,153.1,72.0,66,0,3.0,AU,1587339003
Mach,29.86,67.33,66.85,33,25,4.61,PK,1587339004
Pareora,-44.49,171.21,59.0,26,0,5.99,NZ,1587339004
Takoradze,4.88,-1.76,81.64,82,100,7.56,GH,1587339004
Kidal,18.44,1.41,86.61,12,71,8.99,ML,1587339004
Ulladulla,-35.35,150.47,59.0,67,100,5.82,AU,1587339005
Corrales,35.24,-106.61,71.01,20,75,12.75,US,1587339005
Matagami,49.75,-77.63,14.0,61,1,13.87,CA,1587338850
